pk,longitude,latitude
0,4.354597,48.92583
1,4.35203494,48.92286557
2,4.34539673,48.9150499
3,4.33925955,48.90705153
4,4.33143987,48.8997104
5,4.32384307,48.89231552
6,4.3149569,48.88569814
7,4.30814869,48.87803542
8,4.29943159,48.87115721
9,4.29094741,48.86410752
10,4.2834279,48.8566637
11,4.27417981,48.8500472
12,4.2667444,48.8425254
13,4.26382827,48.83427843
14,4.25381561,48.82818996
15,4.249732,48.81984585
16,4.24929677,48.81125853
17,4.24086452,48.80483008
18,4.23309868,48.79744409
19,4.22932642,48.78903207
20,4.22404401,48.78078777
21,4.21814174,48.77297322
22,4.21521201,48.76429077